,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
261,Polo Diesel Trendline 1.2L,330000.0,64000,Diesel,Manual,1st Owner,2011,1199,5,Volkswagen
262,Swift Vdi BSIII,200000.0,120000,Diesel,Manual,3rd Owner,2010,1248,5,Maruti
263,Jazz 1.2 SV i VTEC,540000.0,42000,Petrol,Manual,1st Owner,2017,1199,5,Honda
264,RediGO T,270000.0,55000,Petrol,Manual,1st Owner,2017,799,5,Datsun
265,Santro Era Executive BSIV,495000.0,30000,Petrol,Manual,1st Owner,2019,1086,5,Hyundai
266,Hexa XTA,1000000.0,86500,Diesel,Automatic,2nd Owner,2017,2179,7,Tata
268,EON Era Plus,310000.0,15000,Petrol,Manual,1st Owner,2018,814,5,Hyundai
269,Scorpio S7 140 BSIV,1200000.0,70000,Diesel,Manual,1st Owner,2019,2179,7,Mahindra
270,Polo ALLSTAR 1.2 MPI,600000.0,50000,Petrol,Manual,2nd Owner,2017,1198,5,Volkswagen
271,Cruze LT,300000.0,110000,Diesel,Manual,1st Owner,2012,1991,5,Chevrolet
